model,cv_accuracy,cv_f1,cv_auc
LogReg_baseline,0.4829787234042554,0.4446651696803364,0.4918987678987678
SVM_baseline,0.4450354609929078,0.413706758213245,0.4876277056277056
RandomForest_baseline,0.4620567375886525,0.3564957264957265,0.4345491175491175
TabPFN_recent,0.4999113475177305,0.06117771883289125,0.41968697968697966
